Perplexity = 161.38, Entropy = 7.33 bits,docLen = 132
Perplexity = 193.98, Entropy = 7.60 bits,docLen = 100
Perplexity = 114.53, Entropy = 6.84 bits,docLen = 185
Perplexity = 257.46, Entropy = 8.01 bits,docLen = 104
Perplexity = 126.36, Entropy = 6.98 bits,docLen = 279
Perplexity = 92.84, Entropy = 6.54 bits,docLen = 187
Perplexity = 176.40, Entropy = 7.46 bits,docLen = 179
Perplexity = 38.57, Entropy = 5.27 bits,docLen = 115
Perplexity = 101.20, Entropy = 6.66 bits,docLen = 136
Perplexity = 72.45, Entropy = 6.18 bits,docLen = 220
Perplexity = 131.67, Entropy = 7.04 bits,docLen = 151
Perplexity = 129.47, Entropy = 7.02 bits,docLen = 123
Perplexity = 235.79, Entropy = 7.88 bits,docLen = 252
Perplexity = 180.33, Entropy = 7.49 bits,docLen = 190
Perplexity = 149.86, Entropy = 7.23 bits,docLen = 157
Perplexity = 64.39, Entropy = 6.01 bits,docLen = 171
Perplexity = 113.37, Entropy = 6.82 bits,docLen = 137
Perplexity = 153.98, Entropy = 7.27 bits,docLen = 174
Perplexity = 180.82, Entropy = 7.50 bits,docLen = 173
Perplexity = 95.41, Entropy = 6.58 bits,docLen = 253
Perplexity = 144.47, Entropy = 7.17 bits,docLen = 277
Perplexity = 145.35, Entropy = 7.18 bits,docLen = 215
Perplexity = 106.35, Entropy = 6.73 bits,docLen = 277
Perplexity = 85.26, Entropy = 6.41 bits,docLen = 236
Perplexity = 152.12, Entropy = 7.25 bits,docLen = 281
Perplexity = 263.41, Entropy = 8.04 bits,docLen = 299
Perplexity = 108.41, Entropy = 6.76 bits,docLen = 232
Perplexity = 114.45, Entropy = 6.84 bits,docLen = 118
Perplexity = 146.51, Entropy = 7.19 bits,docLen = 345
Perplexity = 92.65, Entropy = 6.53 bits,docLen = 265
Perplexity = 109.06, Entropy = 6.77 bits,docLen = 288
Perplexity = 123.71, Entropy = 6.95 bits,docLen = 197
Perplexity = 148.87, Entropy = 7.22 bits,docLen = 244
Perplexity = 61.31, Entropy = 5.94 bits,docLen = 204
Perplexity = 134.59, Entropy = 7.07 bits,docLen = 428
Perplexity = 97.29, Entropy = 6.60 bits,docLen = 256
Perplexity = 153.95, Entropy = 7.27 bits,docLen = 293
Perplexity = 188.81, Entropy = 7.56 bits,docLen = 165
Perplexity = 138.25, Entropy = 7.11 bits,docLen = 244
Perplexity = 147.84, Entropy = 7.21 bits,docLen = 192
Perplexity = 133.72, Entropy = 7.06 bits,docLen = 298
Perplexity = 70.67, Entropy = 6.14 bits,docLen = 259
Perplexity = 112.05, Entropy = 6.81 bits,docLen = 291
Perplexity = 104.92, Entropy = 6.71 bits,docLen = 319
Perplexity = 128.85, Entropy = 7.01 bits,docLen = 444
Perplexity = 67.84, Entropy = 6.08 bits,docLen = 232
Perplexity = 156.16, Entropy = 7.29 bits,docLen = 328
Perplexity = 129.93, Entropy = 7.02 bits,docLen = 304
Perplexity = 190.05, Entropy = 7.57 bits,docLen = 380
Perplexity = 68.14, Entropy = 6.09 bits,docLen = 206
Perplexity = 136.60, Entropy = 7.09 bits,docLen = 342
Perplexity = 61.19, Entropy = 5.94 bits,docLen = 279
Perplexity = 150.19, Entropy = 7.23 bits,docLen = 273
Perplexity = 212.65, Entropy = 7.73 bits,docLen = 245
Perplexity = 149.64, Entropy = 7.23 bits,docLen = 393
Perplexity = 204.61, Entropy = 7.68 bits,docLen = 504
Perplexity = 134.72, Entropy = 7.07 bits,docLen = 366
Perplexity = 90.57, Entropy = 6.50 bits,docLen = 310
Perplexity = 113.39, Entropy = 6.83 bits,docLen = 357
