Perplexity = 127.70, Entropy = 7.00 bits,docLen = 382
Perplexity = 227.26, Entropy = 7.83 bits,docLen = 730
Perplexity = 173.79, Entropy = 7.44 bits,docLen = 1236
Perplexity = 137.75, Entropy = 7.11 bits,docLen = 938
Perplexity = 173.60, Entropy = 7.44 bits,docLen = 786
Perplexity = 147.01, Entropy = 7.20 bits,docLen = 476
Perplexity = 88.53, Entropy = 6.47 bits,docLen = 306
Perplexity = 112.51, Entropy = 6.81 bits,docLen = 803
Perplexity = 163.31, Entropy = 7.35 bits,docLen = 365
Perplexity = 106.03, Entropy = 6.73 bits,docLen = 673
Perplexity = 122.34, Entropy = 6.93 bits,docLen = 1338
Perplexity = 137.26, Entropy = 7.10 bits,docLen = 350
Perplexity = 181.38, Entropy = 7.50 bits,docLen = 753
Perplexity = 176.87, Entropy = 7.47 bits,docLen = 391
Perplexity = 290.10, Entropy = 8.18 bits,docLen = 313
Perplexity = 166.04, Entropy = 7.38 bits,docLen = 477
Perplexity = 231.63, Entropy = 7.86 bits,docLen = 316
Perplexity = 339.72, Entropy = 8.41 bits,docLen = 307
Perplexity = 102.74, Entropy = 6.68 bits,docLen = 294
Perplexity = 130.63, Entropy = 7.03 bits,docLen = 749
Perplexity = 129.60, Entropy = 7.02 bits,docLen = 427
Perplexity = 106.07, Entropy = 6.73 bits,docLen = 5048
Perplexity = 151.72, Entropy = 7.25 bits,docLen = 277
Perplexity = 96.45, Entropy = 6.59 bits,docLen = 452
Perplexity = 125.40, Entropy = 6.97 bits,docLen = 355
Perplexity = 92.80, Entropy = 6.54 bits,docLen = 863
Perplexity = 111.98, Entropy = 6.81 bits,docLen = 4864
Perplexity = 123.41, Entropy = 6.95 bits,docLen = 4986
Perplexity = 123.61, Entropy = 6.95 bits,docLen = 526
Perplexity = 132.75, Entropy = 7.05 bits,docLen = 4958
Perplexity = 270.01, Entropy = 8.08 bits,docLen = 783
Perplexity = 137.57, Entropy = 7.10 bits,docLen = 493
Perplexity = 140.89, Entropy = 7.14 bits,docLen = 786
Perplexity = 89.45, Entropy = 6.48 bits,docLen = 5781
Perplexity = 141.68, Entropy = 7.15 bits,docLen = 411
Perplexity = 228.38, Entropy = 7.84 bits,docLen = 701
Perplexity = 128.54, Entropy = 7.01 bits,docLen = 6995
Perplexity = 96.98, Entropy = 6.60 bits,docLen = 647
Perplexity = 110.50, Entropy = 6.79 bits,docLen = 664
Perplexity = 133.01, Entropy = 7.06 bits,docLen = 375
Perplexity = 114.02, Entropy = 6.83 bits,docLen = 800
Perplexity = 104.34, Entropy = 6.71 bits,docLen = 569
Perplexity = 138.57, Entropy = 7.11 bits,docLen = 435
Perplexity = 131.22, Entropy = 7.04 bits,docLen = 6252
Perplexity = 139.56, Entropy = 7.12 bits,docLen = 5840
Perplexity = 170.05, Entropy = 7.41 bits,docLen = 422
Perplexity = 193.83, Entropy = 7.60 bits,docLen = 376
Perplexity = 116.34, Entropy = 6.86 bits,docLen = 7347
Perplexity = 95.32, Entropy = 6.57 bits,docLen = 5218
Perplexity = 96.06, Entropy = 6.59 bits,docLen = 639
Perplexity = 125.15, Entropy = 6.97 bits,docLen = 657
Perplexity = 150.64, Entropy = 7.23 bits,docLen = 1927
Perplexity = 214.98, Entropy = 7.75 bits,docLen = 471
Perplexity = 138.32, Entropy = 7.11 bits,docLen = 770
Perplexity = 126.94, Entropy = 6.99 bits,docLen = 810
Perplexity = 114.68, Entropy = 6.84 bits,docLen = 401
Perplexity = 122.40, Entropy = 6.94 bits,docLen = 1710
Perplexity = 176.69, Entropy = 7.47 bits,docLen = 566
Perplexity = 100.16, Entropy = 6.65 bits,docLen = 713
Perplexity = 110.97, Entropy = 6.79 bits,docLen = 1186
Perplexity = 89.60, Entropy = 6.49 bits,docLen = 1582
Perplexity = 113.33, Entropy = 6.82 bits,docLen = 1099
Perplexity = 240.58, Entropy = 7.91 bits,docLen = 445
Perplexity = 111.25, Entropy = 6.80 bits,docLen = 1658
Perplexity = 124.55, Entropy = 6.96 bits,docLen = 582
Perplexity = 89.16, Entropy = 6.48 bits,docLen = 706
Perplexity = 120.43, Entropy = 6.91 bits,docLen = 1293
Perplexity = 215.53, Entropy = 7.75 bits,docLen = 516
Perplexity = 118.78, Entropy = 6.89 bits,docLen = 538
Perplexity = 161.30, Entropy = 7.33 bits,docLen = 555
Perplexity = 255.93, Entropy = 8.00 bits,docLen = 2120
Perplexity = 224.42, Entropy = 7.81 bits,docLen = 593
Perplexity = 117.91, Entropy = 6.88 bits,docLen = 1530
Perplexity = 94.52, Entropy = 6.56 bits,docLen = 492
Perplexity = 124.53, Entropy = 6.96 bits,docLen = 3454
Perplexity = 214.78, Entropy = 7.75 bits,docLen = 2742
Perplexity = 94.02, Entropy = 6.55 bits,docLen = 2539
Perplexity = 141.58, Entropy = 7.15 bits,docLen = 2146
Perplexity = 105.71, Entropy = 6.72 bits,docLen = 626
Perplexity = 149.40, Entropy = 7.22 bits,docLen = 870
Perplexity = 259.61, Entropy = 8.02 bits,docLen = 404
Perplexity = 152.49, Entropy = 7.25 bits,docLen = 303
Perplexity = 110.21, Entropy = 6.78 bits,docLen = 591
Perplexity = 151.05, Entropy = 7.24 bits,docLen = 512
Perplexity = 145.08, Entropy = 7.18 bits,docLen = 394
Perplexity = 133.32, Entropy = 7.06 bits,docLen = 241
Perplexity = 185.60, Entropy = 7.54 bits,docLen = 484
Perplexity = 129.09, Entropy = 7.01 bits,docLen = 467
Perplexity = 159.28, Entropy = 7.32 bits,docLen = 598
Perplexity = 223.01, Entropy = 7.80 bits,docLen = 477
Perplexity = 111.58, Entropy = 6.80 bits,docLen = 3296
Perplexity = 183.44, Entropy = 7.52 bits,docLen = 1092
Perplexity = 141.69, Entropy = 7.15 bits,docLen = 331
Perplexity = 130.31, Entropy = 7.03 bits,docLen = 626
Perplexity = 129.09, Entropy = 7.01 bits,docLen = 3574
Perplexity = 347.07, Entropy = 8.44 bits,docLen = 599
Perplexity = 188.63, Entropy = 7.56 bits,docLen = 377
Perplexity = 143.20, Entropy = 7.16 bits,docLen = 1076
Perplexity = 127.22, Entropy = 6.99 bits,docLen = 1681
Perplexity = 316.64, Entropy = 8.31 bits,docLen = 820
Perplexity = 148.50, Entropy = 7.21 bits,docLen = 1657
Perplexity = 255.84, Entropy = 8.00 bits,docLen = 1126
Perplexity = 121.17, Entropy = 6.92 bits,docLen = 611
Perplexity = 125.58, Entropy = 6.97 bits,docLen = 1130
Perplexity = 105.90, Entropy = 6.73 bits,docLen = 251
Perplexity = 100.87, Entropy = 6.66 bits,docLen = 413
Perplexity = 114.11, Entropy = 6.83 bits,docLen = 1059
Perplexity = 119.22, Entropy = 6.90 bits,docLen = 1958
Perplexity = 107.56, Entropy = 6.75 bits,docLen = 576
Perplexity = 152.08, Entropy = 7.25 bits,docLen = 2153
Perplexity = 140.18, Entropy = 7.13 bits,docLen = 965
Perplexity = 101.68, Entropy = 6.67 bits,docLen = 1761
Perplexity = 123.76, Entropy = 6.95 bits,docLen = 1144
Perplexity = 121.48, Entropy = 6.92 bits,docLen = 401
Perplexity = 185.02, Entropy = 7.53 bits,docLen = 3572
Perplexity = 151.94, Entropy = 7.25 bits,docLen = 376
Perplexity = 132.66, Entropy = 7.05 bits,docLen = 1154
Perplexity = 115.68, Entropy = 6.85 bits,docLen = 1374
Perplexity = 109.06, Entropy = 6.77 bits,docLen = 1451
Perplexity = 112.92, Entropy = 6.82 bits,docLen = 479
Perplexity = 103.10, Entropy = 6.69 bits,docLen = 581
Perplexity = 129.63, Entropy = 7.02 bits,docLen = 3164
Perplexity = 114.81, Entropy = 6.84 bits,docLen = 1585
Perplexity = 125.62, Entropy = 6.97 bits,docLen = 649
Perplexity = 127.09, Entropy = 6.99 bits,docLen = 2098
Perplexity = 123.30, Entropy = 6.95 bits,docLen = 1941
Perplexity = 186.92, Entropy = 7.55 bits,docLen = 361
Perplexity = 112.39, Entropy = 6.81 bits,docLen = 432
Perplexity = 224.40, Entropy = 7.81 bits,docLen = 451
Perplexity = 142.82, Entropy = 7.16 bits,docLen = 427
Perplexity = 153.23, Entropy = 7.26 bits,docLen = 508
Perplexity = 223.29, Entropy = 7.80 bits,docLen = 413
Perplexity = 197.72, Entropy = 7.63 bits,docLen = 709
Perplexity = 102.93, Entropy = 6.69 bits,docLen = 755
Perplexity = 273.70, Entropy = 8.10 bits,docLen = 1197
Perplexity = 89.47, Entropy = 6.48 bits,docLen = 1270
Perplexity = 112.92, Entropy = 6.82 bits,docLen = 712
Perplexity = 133.04, Entropy = 7.06 bits,docLen = 1085
Perplexity = 106.27, Entropy = 6.73 bits,docLen = 1423
Perplexity = 128.94, Entropy = 7.01 bits,docLen = 1157
Perplexity = 120.23, Entropy = 6.91 bits,docLen = 329
Perplexity = 102.17, Entropy = 6.67 bits,docLen = 407
Perplexity = 321.66, Entropy = 8.33 bits,docLen = 351
Perplexity = 99.09, Entropy = 6.63 bits,docLen = 911
Perplexity = 246.54, Entropy = 7.95 bits,docLen = 322
Perplexity = 117.69, Entropy = 6.88 bits,docLen = 316
Perplexity = 113.10, Entropy = 6.82 bits,docLen = 1647
Perplexity = 142.54, Entropy = 7.16 bits,docLen = 262
Perplexity = 130.36, Entropy = 7.03 bits,docLen = 421
Perplexity = 109.50, Entropy = 6.77 bits,docLen = 505
Perplexity = 123.11, Entropy = 6.94 bits,docLen = 1523
Perplexity = 85.84, Entropy = 6.42 bits,docLen = 1611
Perplexity = 129.71, Entropy = 7.02 bits,docLen = 563
Perplexity = 149.42, Entropy = 7.22 bits,docLen = 742
Perplexity = 270.03, Entropy = 8.08 bits,docLen = 622
Perplexity = 111.04, Entropy = 6.79 bits,docLen = 2568
Perplexity = 198.49, Entropy = 7.63 bits,docLen = 346
Perplexity = 80.46, Entropy = 6.33 bits,docLen = 628
Perplexity = 110.10, Entropy = 6.78 bits,docLen = 1304
Perplexity = 133.30, Entropy = 7.06 bits,docLen = 1039
Perplexity = 149.35, Entropy = 7.22 bits,docLen = 1008
Perplexity = 73.27, Entropy = 6.20 bits,docLen = 2606
Perplexity = 139.91, Entropy = 7.13 bits,docLen = 417
Perplexity = 161.83, Entropy = 7.34 bits,docLen = 1215
Perplexity = 120.73, Entropy = 6.92 bits,docLen = 4339
Perplexity = 162.67, Entropy = 7.35 bits,docLen = 1121
Perplexity = 137.85, Entropy = 7.11 bits,docLen = 1200
Perplexity = 130.48, Entropy = 7.03 bits,docLen = 3541
Perplexity = 110.55, Entropy = 6.79 bits,docLen = 231
Perplexity = 196.31, Entropy = 7.62 bits,docLen = 486
Perplexity = 197.25, Entropy = 7.62 bits,docLen = 395
Perplexity = 99.70, Entropy = 6.64 bits,docLen = 307
Perplexity = 82.85, Entropy = 6.37 bits,docLen = 3052
Perplexity = 139.21, Entropy = 7.12 bits,docLen = 3673
Perplexity = 134.38, Entropy = 7.07 bits,docLen = 820
