Perplexity = 144.33, Entropy = 7.17 bits,docLen = 291
Perplexity = 105.04, Entropy = 6.71 bits,docLen = 319
Perplexity = 147.71, Entropy = 7.21 bits,docLen = 444
Perplexity = 59.43, Entropy = 5.89 bits,docLen = 232
Perplexity = 192.31, Entropy = 7.59 bits,docLen = 328
Perplexity = 105.40, Entropy = 6.72 bits,docLen = 304
Perplexity = 214.90, Entropy = 7.75 bits,docLen = 380
Perplexity = 58.38, Entropy = 5.87 bits,docLen = 206
Perplexity = 157.26, Entropy = 7.30 bits,docLen = 342
Perplexity = 52.54, Entropy = 5.72 bits,docLen = 279
Perplexity = 181.09, Entropy = 7.50 bits,docLen = 273
Perplexity = 202.32, Entropy = 7.66 bits,docLen = 245
Perplexity = 176.66, Entropy = 7.46 bits,docLen = 393
Perplexity = 188.86, Entropy = 7.56 bits,docLen = 504
Perplexity = 159.80, Entropy = 7.32 bits,docLen = 366
Perplexity = 71.72, Entropy = 6.16 bits,docLen = 310
Perplexity = 134.78, Entropy = 7.07 bits,docLen = 357
