Perplexity = 93.83, Entropy = 6.55 bits
Perplexity = 108.52, Entropy = 6.76 bits
Perplexity = 133.06, Entropy = 7.06 bits
Perplexity = 124.29, Entropy = 6.96 bits
Perplexity = 123.51, Entropy = 6.95 bits
Perplexity = 180.89, Entropy = 7.50 bits
Perplexity = 175.77, Entropy = 7.46 bits
Perplexity = 83.85, Entropy = 6.39 bits
Perplexity = 77.49, Entropy = 6.28 bits
Perplexity = 98.03, Entropy = 6.62 bits
Perplexity = 120.34, Entropy = 6.91 bits
Perplexity = 142.21, Entropy = 7.15 bits
Perplexity = 117.83, Entropy = 6.88 bits
Perplexity = 132.80, Entropy = 7.05 bits
Perplexity = 109.61, Entropy = 6.78 bits
Perplexity = 103.88, Entropy = 6.70 bits
Perplexity = 117.05, Entropy = 6.87 bits
Perplexity = 144.35, Entropy = 7.17 bits
Perplexity = 90.84, Entropy = 6.51 bits
Perplexity = 112.92, Entropy = 6.82 bits
Perplexity = 77.82, Entropy = 6.28 bits
Perplexity = 84.17, Entropy = 6.40 bits
Perplexity = 153.10, Entropy = 7.26 bits
Perplexity = 100.77, Entropy = 6.65 bits
Perplexity = 105.97, Entropy = 6.73 bits
Perplexity = 77.08, Entropy = 6.27 bits
Perplexity = 97.07, Entropy = 6.60 bits
Perplexity = 164.09, Entropy = 7.36 bits
Perplexity = 85.45, Entropy = 6.42 bits
Perplexity = 151.57, Entropy = 7.24 bits
Perplexity = 157.07, Entropy = 7.30 bits
Perplexity = 176.05, Entropy = 7.46 bits
Perplexity = 113.93, Entropy = 6.83 bits
Perplexity = 96.57, Entropy = 6.59 bits
Perplexity = 124.08, Entropy = 6.96 bits
Perplexity = 143.43, Entropy = 7.16 bits
Perplexity = 77.48, Entropy = 6.28 bits
Perplexity = 139.08, Entropy = 7.12 bits
Perplexity = 100.65, Entropy = 6.65 bits
Perplexity = 178.58, Entropy = 7.48 bits
Perplexity = 237.71, Entropy = 7.89 bits
Perplexity = 143.57, Entropy = 7.17 bits
Perplexity = 110.07, Entropy = 6.78 bits
Perplexity = 125.23, Entropy = 6.97 bits
Perplexity = 113.34, Entropy = 6.82 bits
Perplexity = 135.18, Entropy = 7.08 bits
Perplexity = 166.77, Entropy = 7.38 bits
Perplexity = 100.56, Entropy = 6.65 bits
Perplexity = 138.55, Entropy = 7.11 bits
Perplexity = 147.73, Entropy = 7.21 bits
Perplexity = 77.11, Entropy = 6.27 bits
Perplexity = 162.37, Entropy = 7.34 bits
Perplexity = 131.86, Entropy = 7.04 bits
Perplexity = 131.18, Entropy = 7.04 bits
Perplexity = 118.81, Entropy = 6.89 bits
Perplexity = 198.24, Entropy = 7.63 bits
Perplexity = 159.26, Entropy = 7.32 bits
Perplexity = 133.74, Entropy = 7.06 bits
Perplexity = 100.37, Entropy = 6.65 bits
Perplexity = 163.01, Entropy = 7.35 bits
Perplexity = 106.49, Entropy = 6.73 bits
Perplexity = 193.19, Entropy = 7.59 bits
Perplexity = 117.35, Entropy = 6.87 bits
Perplexity = 110.93, Entropy = 6.79 bits
Perplexity = 110.87, Entropy = 6.79 bits
Perplexity = 91.06, Entropy = 6.51 bits
Perplexity = 81.68, Entropy = 6.35 bits
Perplexity = 116.11, Entropy = 6.86 bits
Perplexity = 105.12, Entropy = 6.72 bits
Perplexity = 132.57, Entropy = 7.05 bits
Perplexity = 139.35, Entropy = 7.12 bits
Perplexity = 89.78, Entropy = 6.49 bits
Perplexity = 118.19, Entropy = 6.88 bits
Perplexity = 93.25, Entropy = 6.54 bits
Perplexity = 129.48, Entropy = 7.02 bits
Perplexity = 147.51, Entropy = 7.20 bits
Perplexity = 126.84, Entropy = 6.99 bits
Perplexity = 117.48, Entropy = 6.88 bits
Perplexity = 78.22, Entropy = 6.29 bits
Perplexity = 99.61, Entropy = 6.64 bits
Perplexity = 108.71, Entropy = 6.76 bits
Perplexity = 123.60, Entropy = 6.95 bits
Perplexity = 117.82, Entropy = 6.88 bits
Perplexity = 141.55, Entropy = 7.15 bits
Perplexity = 121.48, Entropy = 6.92 bits
Perplexity = 102.34, Entropy = 6.68 bits
Perplexity = 171.63, Entropy = 7.42 bits
Perplexity = 113.91, Entropy = 6.83 bits
Perplexity = 129.85, Entropy = 7.02 bits
Perplexity = 116.43, Entropy = 6.86 bits
Perplexity = 122.62, Entropy = 6.94 bits
Perplexity = 161.41, Entropy = 7.33 bits
Perplexity = 185.75, Entropy = 7.54 bits
Perplexity = 77.97, Entropy = 6.28 bits
Perplexity = 181.70, Entropy = 7.51 bits
Perplexity = 112.68, Entropy = 6.82 bits
Perplexity = 113.48, Entropy = 6.83 bits
Perplexity = 119.91, Entropy = 6.91 bits
Perplexity = 103.65, Entropy = 6.70 bits
Perplexity = 121.61, Entropy = 6.93 bits
Perplexity = 105.48, Entropy = 6.72 bits
Perplexity = 103.24, Entropy = 6.69 bits
Perplexity = 183.07, Entropy = 7.52 bits
Perplexity = 74.28, Entropy = 6.21 bits
Perplexity = 263.35, Entropy = 8.04 bits
Perplexity = 112.41, Entropy = 6.81 bits
Perplexity = 111.00, Entropy = 6.79 bits
Perplexity = 117.82, Entropy = 6.88 bits
Perplexity = 105.51, Entropy = 6.72 bits
Perplexity = 111.41, Entropy = 6.80 bits
Perplexity = 115.96, Entropy = 6.86 bits
Perplexity = 75.77, Entropy = 6.24 bits
Perplexity = 116.94, Entropy = 6.87 bits
Perplexity = 141.33, Entropy = 7.14 bits
Perplexity = 218.69, Entropy = 7.77 bits
Perplexity = 105.22, Entropy = 6.72 bits
Perplexity = 143.90, Entropy = 7.17 bits
Perplexity = 109.97, Entropy = 6.78 bits
Perplexity = 120.97, Entropy = 6.92 bits
Perplexity = 113.84, Entropy = 6.83 bits
Perplexity = 134.53, Entropy = 7.07 bits
Perplexity = 97.88, Entropy = 6.61 bits
Perplexity = 108.74, Entropy = 6.76 bits
Perplexity = 113.88, Entropy = 6.83 bits
Perplexity = 111.99, Entropy = 6.81 bits
Perplexity = 136.25, Entropy = 7.09 bits
Perplexity = 104.61, Entropy = 6.71 bits
Perplexity = 103.03, Entropy = 6.69 bits
Perplexity = 108.68, Entropy = 6.76 bits
Perplexity = 117.23, Entropy = 6.87 bits
Perplexity = 165.20, Entropy = 7.37 bits
Perplexity = 99.86, Entropy = 6.64 bits
Perplexity = 64.53, Entropy = 6.01 bits
Perplexity = 121.70, Entropy = 6.93 bits
Perplexity = 127.61, Entropy = 7.00 bits
Perplexity = 121.00, Entropy = 6.92 bits
Perplexity = 151.23, Entropy = 7.24 bits
Perplexity = 150.12, Entropy = 7.23 bits
Perplexity = 92.40, Entropy = 6.53 bits
Perplexity = 108.61, Entropy = 6.76 bits
Perplexity = 99.78, Entropy = 6.64 bits
Perplexity = 173.15, Entropy = 7.44 bits
Perplexity = 120.68, Entropy = 6.92 bits
Perplexity = 130.82, Entropy = 7.03 bits
Perplexity = 128.97, Entropy = 7.01 bits
