Perplexity = 121.58, Entropy = 6.93 bits
Perplexity = 61.59, Entropy = 5.94 bits
Perplexity = 132.83, Entropy = 7.05 bits
Perplexity = 114.68, Entropy = 6.84 bits
Perplexity = 176.77, Entropy = 7.47 bits
Perplexity = 49.44, Entropy = 5.63 bits
Perplexity = 119.08, Entropy = 6.90 bits
Perplexity = 50.52, Entropy = 5.66 bits
Perplexity = 125.36, Entropy = 6.97 bits
Perplexity = 164.42, Entropy = 7.36 bits
Perplexity = 133.65, Entropy = 7.06 bits
Perplexity = 204.07, Entropy = 7.67 bits
Perplexity = 123.64, Entropy = 6.95 bits
Perplexity = 79.04, Entropy = 6.30 bits
Perplexity = 103.45, Entropy = 6.69 bits
