Perplexity = 122.64, Entropy = 6.94 bits
Perplexity = 362.14, Entropy = 8.50 bits
Perplexity = 234.68, Entropy = 7.87 bits
Perplexity = 231.54, Entropy = 7.86 bits
Perplexity = 166.46, Entropy = 7.38 bits
Perplexity = 242.65, Entropy = 7.92 bits
Perplexity = 138.09, Entropy = 7.11 bits
Perplexity = 116.20, Entropy = 6.86 bits
Perplexity = 181.63, Entropy = 7.50 bits
Perplexity = 123.21, Entropy = 6.95 bits
Perplexity = 168.74, Entropy = 7.40 bits
Perplexity = 216.01, Entropy = 7.75 bits
Perplexity = 180.45, Entropy = 7.50 bits
Perplexity = 124.73, Entropy = 6.96 bits
Perplexity = 236.91, Entropy = 7.89 bits
Perplexity = 36.24, Entropy = 5.18 bits
Perplexity = 74.33, Entropy = 6.22 bits
Perplexity = 227.58, Entropy = 7.83 bits
Perplexity = 81.75, Entropy = 6.35 bits
Perplexity = 138.78, Entropy = 7.12 bits
Perplexity = 173.78, Entropy = 7.44 bits
Perplexity = 323.12, Entropy = 8.34 bits
Perplexity = 196.64, Entropy = 7.62 bits
Perplexity = 190.07, Entropy = 7.57 bits
Perplexity = 237.22, Entropy = 7.89 bits
Perplexity = 26.07, Entropy = 4.70 bits
Perplexity = 102.00, Entropy = 6.67 bits
Perplexity = 170.07, Entropy = 7.41 bits
Perplexity = 118.91, Entropy = 6.89 bits
Perplexity = 428.82, Entropy = 8.74 bits
Perplexity = 481.61, Entropy = 8.91 bits
Perplexity = 197.76, Entropy = 7.63 bits
Perplexity = 253.72, Entropy = 7.99 bits
Perplexity = 142.72, Entropy = 7.16 bits
Perplexity = 197.21, Entropy = 7.62 bits
Perplexity = 92.52, Entropy = 6.53 bits
Perplexity = 117.59, Entropy = 6.88 bits
Perplexity = 373.05, Entropy = 8.54 bits
Perplexity = 92.62, Entropy = 6.53 bits
Perplexity = 142.69, Entropy = 7.16 bits
Perplexity = 309.28, Entropy = 8.27 bits
Perplexity = 186.88, Entropy = 7.55 bits
Perplexity = 318.31, Entropy = 8.31 bits
Perplexity = 197.90, Entropy = 7.63 bits
Perplexity = 212.51, Entropy = 7.73 bits
Perplexity = 252.37, Entropy = 7.98 bits
Perplexity = 58.46, Entropy = 5.87 bits
Perplexity = 673.87, Entropy = 9.40 bits
Perplexity = 101.45, Entropy = 6.66 bits
Perplexity = 92.57, Entropy = 6.53 bits
Perplexity = 203.87, Entropy = 7.67 bits
Perplexity = 76.61, Entropy = 6.26 bits
Perplexity = 132.12, Entropy = 7.05 bits
Perplexity = 138.38, Entropy = 7.11 bits
Perplexity = 378.10, Entropy = 8.56 bits
Perplexity = 179.55, Entropy = 7.49 bits
Perplexity = 477.05, Entropy = 8.90 bits
Perplexity = 300.31, Entropy = 8.23 bits
Perplexity = 82.35, Entropy = 6.36 bits
Perplexity = 138.67, Entropy = 7.12 bits
Perplexity = 274.45, Entropy = 8.10 bits
Perplexity = 169.46, Entropy = 7.40 bits
Perplexity = 243.92, Entropy = 7.93 bits
Perplexity = 133.71, Entropy = 7.06 bits
Perplexity = 358.60, Entropy = 8.49 bits
Perplexity = 293.72, Entropy = 8.20 bits
Perplexity = 289.89, Entropy = 8.18 bits
Perplexity = 54.77, Entropy = 5.78 bits
Perplexity = 142.80, Entropy = 7.16 bits
Perplexity = 271.31, Entropy = 8.08 bits
Perplexity = 75.06, Entropy = 6.23 bits
Perplexity = 213.33, Entropy = 7.74 bits
Perplexity = 231.79, Entropy = 7.86 bits
Perplexity = 223.16, Entropy = 7.80 bits
Perplexity = 344.04, Entropy = 8.43 bits
Perplexity = 1605.21, Entropy = 10.65 bits
