Perplexity = 109.59, Entropy = 6.78 bits
Perplexity = 131.74, Entropy = 7.04 bits
Perplexity = 215.82, Entropy = 7.75 bits
Perplexity = 121.03, Entropy = 6.92 bits
Perplexity = 115.92, Entropy = 6.86 bits
Perplexity = 94.61, Entropy = 6.56 bits
Perplexity = 110.96, Entropy = 6.79 bits
Perplexity = 146.03, Entropy = 7.19 bits
Perplexity = 89.85, Entropy = 6.49 bits
Perplexity = 100.32, Entropy = 6.65 bits
Perplexity = 82.77, Entropy = 6.37 bits
Perplexity = 108.80, Entropy = 6.77 bits
Perplexity = 196.91, Entropy = 7.62 bits
Perplexity = 99.80, Entropy = 6.64 bits
Perplexity = 114.53, Entropy = 6.84 bits
Perplexity = 73.43, Entropy = 6.20 bits
Perplexity = 108.56, Entropy = 6.76 bits
Perplexity = 215.01, Entropy = 7.75 bits
Perplexity = 100.50, Entropy = 6.65 bits
Perplexity = 156.75, Entropy = 7.29 bits
Perplexity = 244.48, Entropy = 7.93 bits
Perplexity = 199.88, Entropy = 7.64 bits
Perplexity = 97.00, Entropy = 6.60 bits
Perplexity = 75.04, Entropy = 6.23 bits
Perplexity = 107.97, Entropy = 6.75 bits
Perplexity = 191.54, Entropy = 7.58 bits
Perplexity = 83.71, Entropy = 6.39 bits
Perplexity = 123.82, Entropy = 6.95 bits
Perplexity = 90.74, Entropy = 6.50 bits
Perplexity = 218.12, Entropy = 7.77 bits
Perplexity = 250.86, Entropy = 7.97 bits
Perplexity = 121.05, Entropy = 6.92 bits
Perplexity = 102.92, Entropy = 6.69 bits
Perplexity = 130.89, Entropy = 7.03 bits
Perplexity = 136.27, Entropy = 7.09 bits
Perplexity = 107.67, Entropy = 6.75 bits
Perplexity = 154.82, Entropy = 7.27 bits
Perplexity = 113.90, Entropy = 6.83 bits
Perplexity = 145.86, Entropy = 7.19 bits
Perplexity = 197.25, Entropy = 7.62 bits
Perplexity = 95.75, Entropy = 6.58 bits
Perplexity = 168.91, Entropy = 7.40 bits
Perplexity = 124.75, Entropy = 6.96 bits
Perplexity = 114.84, Entropy = 6.84 bits
