Perplexity = 138.96, Entropy = 7.12 bits
Perplexity = 57.95, Entropy = 5.86 bits
Perplexity = 137.57, Entropy = 7.10 bits
Perplexity = 90.04, Entropy = 6.49 bits
Perplexity = 118.96, Entropy = 6.89 bits
Perplexity = 55.97, Entropy = 5.81 bits
Perplexity = 153.85, Entropy = 7.27 bits
Perplexity = 83.93, Entropy = 6.39 bits
Perplexity = 188.80, Entropy = 7.56 bits
Perplexity = 55.91, Entropy = 5.81 bits
Perplexity = 146.35, Entropy = 7.19 bits
Perplexity = 55.90, Entropy = 5.80 bits
Perplexity = 167.95, Entropy = 7.39 bits
Perplexity = 194.89, Entropy = 7.61 bits
Perplexity = 158.02, Entropy = 7.30 bits
Perplexity = 198.63, Entropy = 7.63 bits
Perplexity = 176.24, Entropy = 7.46 bits
Perplexity = 84.36, Entropy = 6.40 bits
Perplexity = 142.30, Entropy = 7.15 bits
